Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,seulement,only
3,police,police
4,pensais,thought
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,laisser,let
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
18,devrait,should
19,heures,hours
20,vont,will
21,pendant,while
22,revoir,meet again
23,aucune,any
24,place,square
25,parle,speak
26,compris,understood
27,savais,knew
28,étaient,were
29,attention,Warning
30,voici,here is
31,pourrais,could
32,affaire,case
33,donner,give
34,type,type
35,leurs,their
36,donné,given
37,train,train
38,yeux,eyes
39,façon,way
40,écoute,listen
41,trouve,find
42,premier,first
43,perdu,lost
44,main,hand
45,côté,side
46,vieux,old
47,tiens,here
48,matin,morning
49,tellement,so much
50,enfant,child
51,point,point
52,venu,came
53,suite,after
54,pardon,sorry
55,venez,come
56,devant,in front of
57,demandé,request
59,belle,beautiful
60,droit,law
61,aimerais,would like to
62,aujourd'hui,today
63,mari,husband
64,enfin,finally
65,eau,water
66,attendez,Wait
67,parti,left
68,nouvelle,new
70,arrêter,Stop
71,dirait,would say
72,terre,Earth
73,compte,account
74,donne,given
75,fin,end
76,croire,believe
77,chérie,sweetheart
78,plutôt,rather
79,filles,girls
80,jouer,to play
