Japanese,English
の,of
は,teeth
た,rice field
を,of
だ,is
て,hand
と,When
ます,increase
も,and
で,and
ている,ing
です,is
れる,Be
という,As
事,case
えー,Um
言う,To tell
のです,That is
あの,that
する,do
まー,Ma
の,of
ね,hey
なる,Become
か,mosquito
その,That
けれど,But
から,from
よう,So
で,and
か,mosquito
物,object
何,what
と,When
てしまう,Be
それ,that
無い,No
行く,go
のだ,Tremendous
せる,Make
これ,this
もう,Already
である,Be
時,Time
ず,figure
ので,So
人,Man
よ,world
こう,like this
から,from
ば,palce
や,or
来る,come
その,That
まで,to
見る,look
たり,Otherwise
今,now
良い,good
所,Place
自分,myself
ん,Hmm
あー,ah
やはり,also
たい,sea bream
やる,do
中,During ~
いる,Be
できる,can
など,Such
として,As
後,rear
また,Also
ちょっと,A little
てくる,Come
だけ,only
くらい,About
ではない,is not
えーと,Um
方,direction
ていく,To go
訳,reason
へ,What
どう,copper
し,death
本当,For real
持つ,Hold
出る,Come out
ため,For
すごい,very
考える,think
そこ,There
ておる,Be
について,about
それで,So
入る,come in
作る,make
てみる,Try
聞く,listen
そして,and
てくれる,Give me
場合,case
話,Talk
ながら,While
使う,use
日本,Japan
風,Wind
おー,Oh
前,Previous
多い,many
のではない,Not
よく,Often
一つ,One
子供,child
非常,Informal
気,air
ても,Perhaps
取る,take
うち,home
より,Than
それから,after that
うー,Hmm
感じ,Feeling
みたい,want to see
でも,but
ここ,here
とても,very
いろいろ,various
一,one
そう,yes
行なう,Perform
一番,number one
二,two
同じ,same
まず,first
必要,requirement
仕事,work
余り,remainder
によって,By
かもしれない,May
僕,I
彼,he
方,direction
食べる,eat
ほど,Degree
しかし,However
入れる,put in
結構,very well
問題,problem
例えば,for example
目,eye
頃,Time
上,Up
てくださる,Be
他,other
いつ,when
家,House
日,Day
出す,put out
一人,One person
人間,human
どこ,Where
ございます,Yes
ただ,However
だから,that's why
違う,Wrong
受ける,receive
言葉,words
なんか,Something
少し,a bit
まま,Be
買う,buy
まだ,yet
手,hand
話す,talk
好き,Like
返る,Return
掛ける,Put on
終わる,End
意味,meaning
のである,So
いろんな,various
付ける,wear
形,shape
かなり,rather
最初,first time
感じる,feel
しか,deer
かかる,Be
大きな,big
住む,live
最近,Recently
特に,especially
誰,Who
友達,friend
大きい,big
すぐ,soon
一緒,together
生活,life
国,Country
あげる,give
現在,Current
高い,high
悪い,bad
気持ち,feeling
乗る,get on
において,In
見える,appear
変わる,change
べし,Beyond
あるいは,or
大変,hard
による,according to
会社,Company
ほとんど,largely
先生,teacher
彼女,she
二人,Two persons
心,heart
あの,that
らしい,Apparent
ある,be
金,Money
顔,face
ていただく,Be
ずっと,all the time
さらに,moreover
町,town
たくさん,a lot
いー,Good
もちろん,of course
読む,read
今日,today
昔,long ago
うん,yes
すべて,all
子,Child
ておく,Be
に対して,To
ばかり,Only
なぜ,why
水,water
当時,at that time
場所,place
置く,put
楽しい,fun
にとって,for
声,voice
普通,usually
残る,Remain
最後,last
車,car
初めて,first time
今度,next time
体,body
私達,we
強い,strong
全く,not at all
呼ぶ,Call
結局,in the end
男,Man
女性,Woman
学校,school
生きる,live
なかなか,Quite
先,Precedence
もっと,more
ことができる,be able to
